"Designator","Comment","LCSC","Footprint"
"BT1","4.5V","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"
"C1","100nF","C1525","Capacitor_SMD:C_0402_1005Metric"
"D1","LED","C2286","LED_SMD:LED_0402_1005Metric"
"J1","USB_B_Mini","","Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal"
"Q1,Q2","2SC4671","C2150","Package_TO_SOT_SMD:SOT-23"
"R1","330R","C25104","Resistor_SMD:R_0402_1005Metric"
"R2","3k","","Resistor_SMD:R_0402_1005Metric"
"R3,R4","10k"," C25744","Resistor_SMD:R_0402_1005Metric"
"SW1","SW_SPDT","","Connector_Molex:Molex_Micro-Fit_3.0_43650-0315_1x03_P3.00mm_Vertical"
"U1","AMS1117-3.3","","Package_TO_SOT_SMD:SOT-223-3_TabPin2"
"U2","ESP32-WROOM-32E","","RF_Module:ESP32-WROOM-32D"
"U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23","WS2812B-2020","C965555","GHLED:SMT_12B-2020_WDS-L"
"U24","CH340C","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm"
