Designator,Mid X,Mid Y,Rotation,Layer
BT1,184.5,-69.734,0,top
C1,183,-93.5,0,top
D1,198.985,-79,0,top
J1,196.925,-89.5,90,top
Q1,195.145,-77.5,0,top
Q2,195,-81,0,top
R1,200.5,-40,0,top
R2,198.99,-81.5,0,top
R3,192.5,-81.5,90,top
R4,192.5,-78,-90,top
SW1,196.5,-71.5,90,top
U1,174.3,-69.85,90,top
U2,168.25,-87.37,180,top
U3,81.5,-45,90,top
U4,87,-48,90,top
U5,93,-51,90,top
U6,99,-54,90,top
U7,105,-57,90,top
U8,111,-60,90,top
U9,117,-63,90,top
U10,123,-66,90,top
U11,129,-69,90,top
U12,135,-72,90,top
U13,141,-75,90,top
U14,147,-70.5,90,top
U15,153,-67.5,90,top
U16,159,-64.5,90,top
U17,165,-61.5,90,top
U18,171,-58.5,90,top
U19,177,-55.5,90,top
U20,183,-52.5,90,top
U21,189,-49.5,90,top
U22,195,-46.5,90,top
U23,200.5,-43.5,90,top
U24,185.975,-82.905,0,top
##,,,,
